date,Close,Net,chg,Open,Low,High,Volume
44783.00,12854.81,360.88,0.03,12793.44,12698.61,12861.44,1054252434.00
44782.00,12493.93,-150.53,-0.01,12557.49,12438.86,12582.91,1023265576.00
44781.00,12644.46,-13.10,0.00,12703.72,12597.75,12855.16,1003332816.00
44778.00,12657.56,-63.02,0.00,12538.81,12525.77,12720.44,991771068.00
44777.00,12720.58,52.42,0.00,12675.05,12600.78,12736.19,1053359711.00
44776.00,12668.16,319.40,0.03,12433.87,12425.21,12699.64,1104854608.00
44775.00,12348.76,-20.22,0.00,12287.67,12260.48,12503.34,902815850.00
44774.00,12368.98,-21.71,0.00,12317.96,12271.98,12499.72,891534909.00
44771.00,12390.69,228.09,0.02,12239.69,12181.13,12426.26,1095226626.00
44770.00,12162.59,130.17,0.01,12036.48,11886.67,12179.09,958799858.00
44769.00,12032.42,469.85,0.04,11756.19,11718.38,12081.73,939314234.00
44768.00,11562.58,-220.09,-0.02,11701.53,11533.37,11711.31,834485572.00
44767.00,11782.67,-51.45,0.00,11837.96,11707.53,11855.11,783123627.00
44764.00,11834.11,-225.50,-0.02,12025.37,11767.19,12093.02,884724597.00
44763.00,12059.61,161.96,0.01,11914.15,11812.72,12060.59,840807046.00
44762.00,11897.65,184.50,0.02,11726.09,11703.36,11939.96,1006002995.00
44761.00,11713.15,353.10,0.03,11515.00,11448.97,11721.22,974153660.00
44760.00,11360.05,-92.37,-0.01,11561.64,11322.84,11629.03,922796079.00
44757.00,11452.42,201.24,0.02,11379.36,11295.33,11454.69,947433928.00
44756.00,11251.19,3.60,0.00,11151.21,11005.93,11279.97,817492856.00
44755.00,11247.58,-17.15,0.00,11056.55,11031.27,11325.67,812597972.00
44754.00,11264.73,-107.87,-0.01,11420.89,11207.08,11483.17,836734852.00
44753.00,11372.60,-262.71,-0.02,11524.49,11348.06,11541.10,844126205.00
44750.00,11635.31,13.96,0.00,11503.61,11479.77,11689.70,820692466.00
44749.00,11621.35,259.49,0.02,11422.60,11412.88,11644.47,916260304.00
44748.00,11361.85,39.61,0.00,11337.90,11250.32,11443.15,933387440.00
44747.00,11322.24,194.39,0.02,10964.18,10911.45,11323.90,1065364101.00
44743.00,11127.85,99.11,0.01,11006.83,10922.71,11132.55,930706044.00
44742.00,11028.74,-149.16,-0.01,11048.25,10850.01,11160.92,1161949240.00
44741.00,11177.89,-3.65,0.00,11160.22,11072.19,11226.33,1017470046.00
44740.00,11181.54,-343.01,-0.03,11542.24,11177.68,11635.86,1020145322.00
